nome,preco,sku,stock,tema,subtema,peso
Hoth Rebel Trooper ,1.75,HR02,2,Star Wars,semsubtema,10
Apu Nahasapeemapetilon ,2.25,AN03,2,Os Simpsons,semsubtema,10
Lisa Simpson e Snowball,2.25,LS02,2,Os Simpsons,semsubtema,10
War Machine Mark 7,1.95,WM02,2,Marvel,Avengers,10
Iron Fist Clássico,1.75,IF02,2,Marvel,semsubtema,10
Firestorm ,1.75,FI02,2,DC Comics,semsubtema,10
Jacob Kowalski v1,1.75,JK01,2,Harry Potter,semsubtema,10
E.T.,1.75,ET01,2,Filmes e Séries,semsubtema,10
Maria Hill ,1.75,MH02,2,Marvel,semsubtema,10
Yelena Belova,1.75,YB01,2,Marvel,semsubtema,10
Koska Reeves ,1.75,KR04,2,Star Wars,semsubtema,10
Domino,1.75,DO04,2,Marvel,semsubtema,10
Cable v1,1.75,CV01,2,Marvel,X-Men,10
Hercules,1.75,HE03,2,Marvel,semsubtema,10
Prometheus,1.75,PR03,2,DC Comics,semsubtema,10
Saint Walker,1.95,SW01,2,DC Comics,semsubtema,10
Joker Jeremy,1.75,JJ05,2,DC Comics,semsubtema,10
Iron Man XL antigo cinza,3.5,IM06,2,Marvel,Avengers,10
Jedi Temple Guard v1,1.95,PM01,3,Star Wars,semsubtema,10
Hannibal Lecter ,2.25,HL01,3,Filmes e Séries,semsubtema,10
Cowboy v8,1.95,CV14,3,Faroeste,semsubtema,10
Xerife,1.75,XE01,3,Tempos Antigos,semsubtema,10
Shanghai Gangster v1,1.75,SG05,3,Cidade,semsubtema,10
Shanghai Gangster v2,1.75,SG06,3,Cidade,semsubtema,10
Shanghai Gangster v4,1.75,SG08,3,Cidade,semsubtema,10
Murray Bauman,2.95,MB04,3,Stranger Things,semsubtema,10
Joker Henchman ,1.75,JH08,3,DC Comics,semsubtema,10
Hadras,1.75,HA01,3,Piratas das Caraíbas,semsubtema,10
Napoleon Bonaparte,2.5,NB02,3,Militar,semsubtema,10
Mer-Man ,1.95,MM11,3,Masters of the Universe,semsubtema,10
Beast Man ,1.95,BM02,3,Masters of the Universe,semsubtema,10
Sir Nicholas Nearly Headless Nick,1.75,SN01,3,Harry Potter,semsubtema,10
Super Adaptoid ,1.75,SA08,3,Marvel,semsubtema,10
Mandarin,1.75,MA08,3,Marvel,semsubtema,10
Conde Dooku Clone Wars,1.75,CD05,3,Star Wars,semsubtema,10
Logray Ewok,1.75,LE05,3,Star Wars,semsubtema,10
Tom,2.25,TO03,3,Bonecos,semsubtema,10
Jerry,2.25,JE02,3,Bonecos,semsubtema,10
Valak,2.25,VA01,3,Filmes e Séries,semsubtema,10
Loki BD,1.75,TB01,3,Marvel,semsubtema,10
Robocop,1.75,RO03,3,Filmes e Séries,semsubtema,10
Maz Kanata ,1.95,MK01,3,Star Wars,semsubtema,10
Thanos,1.95,TH01,3,Marvel,semsubtema,10
Vulko,1.75,VU01,3,DC Comics,semsubtema,10
Captain Marvel MCU,1.75,CM01,3,Marvel,semsubtema,10
Iron Patriot,1.75,IP02,3,Marvel,Avengers,10
Lizard,1.95,LI01,3,Marvel,semsubtema,10
White Queen v1,1.75,WQ01,3,Marvel,X-Men,10
Falcon MCU v1,1.75,FM01,3,Marvel,Avengers,10
Venom XL,4.5,VX01,3,Marvel,semsubtema,10
Royal Guard ,1.75,RG02,3,Star Wars,semsubtema,10
Lex Luthor Jesse Eisenberg ,1.75,LL02,3,DC Comics,semsubtema,10
Black Adam Clássico,1.75,BA07,3,DC Comics,semsubtema,10
Yellowjacket ,2,YE01,3,Marvel,semsubtema,10
Wall-E,4.5,MA11,3,Disney,semsubtema,10
Max Mayfield v3,1.75,MM10,3,Stranger Things,semsubtema,10
Road Runner,2.25,RR01,4,Looney Tunes,semsubtema,10
Lor San Tekka ,1.75,LS03,4,Star Wars,semsubtema,10
Coruscant Guard ARF Trooper ,1.75,CG01,4,Star Wars,semsubtema,10
Kidpool e Dogpool,1.95,KE01,4,Marvel,semsubtema,10
Virgil van Dijk ,1.75,VV06,4,Futebol,semsubtema,10
Leatherface,2.25,LE01,4,Filmes e Séries,semsubtema,10
Samara The Ring,1.95,ST03,4,Filmes e Séries,semsubtema,10
Evil Majin Boo,2.25,EM09,4,Dragon Ball,semsubtema,10
Jack Sparrow Hat,1.75,JS03,4,Piratas das Caraíbas,semsubtema,10
Blackbeard ,1.75,BL02,4,Piratas das Caraíbas,semsubtema,10
Elmo,2.25,EL03,4,Rua Sésamo,semsubtema,10
Max Mayfield v1,1.95,MM08,4,Stranger Things,semsubtema,10
Greedo,2.25,GR04,4,Star Wars,semsubtema,10
Centurião Romano v2,1.75,CO02,4,Tempos Antigos,semsubtema,10
Red Hood v2,2.25,PH04,4,DC Comics,semsubtema,10
Dançarina Oriental,1.75,DA02,4,Cidade,semsubtema,10
Sorceress,1.95,SO04,4,Masters of the Universe,semsubtema,10
Tri-Klops ,1.95,TK03,4,Masters of the Universe,semsubtema,10
Zodac ,1.95,ZO02,4,Masters of the Universe,semsubtema,10
Fantasma,1.75,FA01,4,Ghostbusters,semsubtema,10
Hawkeye BD,1.75,HB01,4,Marvel,Avengers,10
Viper “Madame Hydra”,1.95,VM02,4,Marvel,semsubtema,10
Ocean Master,1.75,OM02,4,DC Comics,semsubtema,10
Dumbledore v2,1.75,DV12,4,Harry Potter,semsubtema,10
Zuzanu Latt,1.75,ZL01,4,Star Wars,semsubtema,10
Parallax,1.75,PA06,4,DC Comics,semsubtema,10
Bane The Dark Knight Rises,1.95,BT02,4,DC Comics,semsubtema,10
Jor-El,1.95,JE05,4,DC Comics,semsubtema,10
Green Arrow BD,1.95,GA05,4,DC Comics,semsubtema,10
Soldado dos Mortos,1.75,SD03,4,O Senhor dos Anéis,semsubtema,10
Palhaço Krusty,2.25,PO01,4,Os Simpsons,semsubtema,10
Bandit,2.45,BA01,4,Bluey,semsubtema,10
Chilli,2.45,CH06,4,Bluey,semsubtema,10
Harley Quinn Comics TV,2.25,HQ01,4,DC Comics,semsubtema,10
Fennec Shand,1.75,FS01,4,Star Wars,semsubtema,10
Dolores Umbridge,1.75,DU01,4,Harry Potter,semsubtema,10
Robin v1,1.75,RV04,4,DC Comics,semsubtema,10
Hydro-Man ,1.75,HM05,4,Marvel,semsubtema,10
Mystique ,1.75,MY03,4,Marvel,X-Men,10
Daredevil BD,1.75,DB01,4,Marvel,semsubtema,10
Doctor Fate,1.95,DF02,4,DC Comics,semsubtema,10
Diablo,1.95,DI02,4,DC Comics,semsubtema,10
Giganta,1.75,GI01,4,DC Comics,semsubtema,10
Batman DCEU v2,1.95,BD04,4,DC Comics,semsubtema,10
Sensei Wu,1.75,SW03,4,Ninjago,semsubtema,10
Marvin the Martian ,2.25,MT02,5,Looney Tunes,semsubtema,10
Ousmane Dembélé ,1.75,OD02,5,Futebol,semsubtema,10
Robert Lewandowski ,1.75,RL02,5,Futebol,semsubtema,10
Karnak,1.75,KA05,5,Marvel,semsubtema,10
Demogorgon v1,1.95,DV07,5,Stranger Things,semsubtema,10
Mike Wheeler v1,1.95,MW04,5,Stranger Things,semsubtema,10
Erica Sinclair,1.95,ES05,5,Stranger Things,semsubtema,10
Eddie Munson v1,1.95,EM02,5,Stranger Things,semsubtema,10
Momaw Nadon ,2.25,MN01,5,Star Wars,semsubtema,10
Sandtrooper v2,1.75,MV15,5,Star Wars,semsubtema,10
Mickey v2,2.25,MV11,5,Disney,semsubtema,10
Minnie v2,2.25,MV13,5,Disney,semsubtema,10
Cowboy v1,2.25,CV06,5,Faroeste,semsubtema,10
Scooby-Doo e Shaggy,3.75,SD01,5,Filmes e Séries,semsubtema,10
Clawful ,1.95,CL01,5,Masters of the Universe,semsubtema,10
Astraal Vao,1.75,AV09,5,Star Wars,semsubtema,10
Índio Apache,1.75,NA01,5,Tempos Antigos,semsubtema,10
Chirrut Îmwe,1.75,CM04,5,Star Wars,semsubtema,10
Lando Calrissian General Insignia,1.75,LC01,5,Star Wars,semsubtema,10
Vigilante,1.75,AQ02,5,DC Comics,semsubtema,10
Comic Book Guy ,2.25,CB03,5,Os Simpsons,semsubtema,10
Waylon Smithers ,2.25,WS01,5,Os Simpsons,semsubtema,10
Groundskeeper Willie ,2.25,GW02,5,Os Simpsons,semsubtema,10
Superboy New 52,1.75,SN04,5,DC Comics,semsubtema,10
Black Panther,1.75,BP02,5,Marvel,Avengers,10
Iron Patriot Endgame,1.75,IP03,5,Marvel,semsubtema,10
Stay-Puft,1.95,SP04,5,Ghostbusters,semsubtema,10
Paz Vizsla,1.95,PV07,5,Star Wars,semsubtema,10
Republic Trooper ,1.75,RT04,5,Star Wars,semsubtema,10
Colossus,1.75,CO03,5,Marvel,X-Men,10
Green Goblin v1,2.5,GG05,5,Marvel,semsubtema,10
Tie Fighter Pilot,1.75,TF01,5,Star Wars,semsubtema,10
Deathstroke ,1.75,DE01,5,DC Comics,semsubtema,10
Ebony Maw ,1.95,EM01,5,Marvel,semsubtema,10
Gamora,1.75,GA03,5,Marvel,GG,10
Golden Ninja,1.75,GN01,5,Ninjago,semsubtema,10
Nya,1.75,NY01,5,Ninjago,semsubtema,10
Petunia Pig ,2.25,PP01,6,Looney Tunes,semsubtema,10
Elvis Presley ,2.25,EP03,6,Famosos,semsubtema,10
Red Hulk XL,5.5,RH05,6,Marvel,semsubtema,10
Klatooinian Raider v1,1.95,KR02,6,Star Wars,semsubtema,10
Superman e Krypto,2.25,SE04,6,DC Comics,semsubtema,10
Galactus First Steps v2,3.5,GF02,6,Marvel,semsubtema,10
Will Byers v1,1.95,WB01,6,Stranger Things,semsubtema,10
Tasmanian Devil,2.25,TD01,6,Looney Tunes,semsubtema,10
Mr. Teeny ,1.75,MT04,6,Os Simpsons,semsubtema,10
Pateta v2,2.25,PV06,6,Disney,semsubtema,10
Margarida v2,2.25,MV07,6,Disney,semsubtema,10
Cheerleader ,1.25,CH03,6,Cidade,semsubtema,10
Daken,1.75,DA01,6,Marvel,X-Men,10
Rodian Alliance Fighter,1.75,RA07,6,Star Wars,semsubtema,10
Darth Malgus,1.75,DM04,6,Star Wars,semsubtema,10
Boba Fett Jovem,1.75,BF05,6,Star Wars,semsubtema,10
Tallissan Lintra ,1.75,TL01,6,Star Wars,semsubtema,10
Homer Simpson,2.25,HS07,6,Os Simpsons,semsubtema,10
Maggie Simpson,2,MS02,6,Os Simpsons,semsubtema,10
Annabelle,1.95,AN02,6,Filmes e Séries,semsubtema,10
Heimdall Comics,1.75,HC01,6,Marvel,semsubtema,10
Superman DCEU ,1.75,SD04,6,DC Comics,semsubtema,10
Darth Maul Clássico,3.25,VD02,6,Star Wars,semsubtema,10
Deadpool v1,1.75,DV05,6,Marvel,X-Men,10
Professor X,2.25,PX01,6,Marvel,X-Men,10
Namor BD,1.75,NB01,6,Marvel,semsubtema,10
Amora “Enchantress”,1.75,AE01,6,Marvel,semsubtema,10
Cavalo Nazgûl,1.95,CN02,6,O Senhor dos Anéis,semsubtema,10
Cavalo Branco v1,1.95,CB02,6,Animais,semsubtema,10
Cole,1.75,PR01,6,Ninjago,semsubtema,10
Kai,1.75,VE01,6,Ninjago,semsubtema,10
Zane,1.75,ZA01,6,Ninjago,semsubtema,10
Poe Dameron,1.95,PD03,7,Star Wars,semsubtema,10
Imperial Mudtrooper,1.75,IM02,7,Star Wars,semsubtema,10
Martian Manhunter,1.95,MM03,7,DC Comics,semsubtema,10
Chewbacca v2,1.75,CV04,7,Star Wars,semsubtema,10
Phoenix BD,1.95,PB04,7,Marvel,X-Men,10
Anakin Skywalker Transformação,1.75,AS06,7,Star Wars,semsubtema,10
Peacemaker e Eagly ,2.25,PE01,7,DC Comics,semsubtema,10
Ned Flanders ,2.25,NF01,7,Os Simpsons,semsubtema,10
Bingo,2.45,BI02,7,Bluey,semsubtema,10
Jacob Kowalski v2,1.75,JK02,7,Harry Potter,semsubtema,10
Sirius Black ,1.75,SB05,7,Harry Potter,semsubtema,10
Gizmo,1.75,GI03,7,Filmes e Séries,semsubtema,10
Peter Venkman,1.95,PV08,7,Ghostbusters,semsubtema,10
Egon Spengler,1.95,ES02,7,Ghostbusters,semsubtema,10
Captain Phasma ,1.75,CP05,7,Star Wars,semsubtema,10
Tigre,1.75,TI02,7,Disney,semsubtema,10
Jay,1.75,AZ03,7,Ninjago,semsubtema,10
Lloyd,1.75,VE02,7,Ninjago,semsubtema,10
Superboy 90s ,1.75,SS11,7,DC Comics,semsubtema,10
Klatooinian Raider v2,1.95,KR03,8,Star Wars,semsubtema,10
Jim Hopper Season 5,1.75,JH02,8,Stranger Things,semsubtema,10
Sonic,1.95,SO03,8,Jogos,semsubtema,10
First Order Stormtrooper,1.95,FO04,8,Star Wars,semsubtema,10
Steve Harrington v1,1.95,SH07,8,Stranger Things,semsubtema,10
Labria,1.95,LA01,8,Star Wars,semsubtema,10
Jawa v2,1.75,JV03,8,Star Wars,semsubtema,10
Guerrilheiro Árabe ,1.75,AD04,8,Militar,semsubtema,10
Batman Beware,1.95,BB02,8,DC Comics,semsubtema,10
Boneco de Neve v2,1.75,BD09,8,Cidade,semsubtema,10
Professor Pomona Sprout,1.75,PP03,8,Harry Potter,semsubtema,10
Shaak Ti ,1.95,ST05,8,Star Wars,semsubtema,10
Moloch,1.75,MO05,8,Star Wars,semsubtema,10
Boba Fett v2,1.95,BF07,8,Star Wars,semsubtema,10
Eduardo Mãos de Tesoura v3,2.25,EM06,9,Filmes e Séries,semsubtema,10
Eleven Pink Dress,1.95,EP01,9,Stranger Things,semsubtema,10
Robin Buckley v1,1.95,RB04,9,Stranger Things,semsubtema,10
Eleven Hawkins Lab,1.95,EH01,9,Stranger Things,semsubtema,10
C-3PO v3,1.75,CP04,9,Star Wars,semsubtema,10
Explorador,1.75,EX02,9,Cidade,semsubtema,10
Red Hood v1,2.25,RH03,9,DC Comics,semsubtema,10
Luminara Unduli,1.75,LU02,9,Star Wars,semsubtema,10
Bluey ,2.45,BL05,9,Bluey,semsubtema,10
Batgirl,1.75,BA06,9,DC Comics,semsubtema,10
Dark Phoenix,1.95,DP01,9,Marvel,X-Men,10
Chefe Índio,1.75,CN03,9,Tempos Antigos,semsubtema,10
Bombeiro,1.75,BO04,10,Cidade,semsubtema,10
Fantomex ,1.95,FA02,10,Marvel,X-Men,10
Max Rebo ,1.95,MR03,10,Star Wars,semsubtema,10
Han Solo Carbonite ,1.95,HS02,10,Star Wars,semsubtema,10
Jar Jar Binks,1.95,JJ01,11,Star Wars,semsubtema,10
Newt Scamander,1.75,NS01,11,Harry Potter,semsubtema,10
Kabe,1.75,KA01,12,Star Wars,semsubtema,10
Barbara Gordon,1.75,BG01,12,DC Comics,semsubtema,10
Punisher ,1.95,PU01,12,Marvel,semsubtema,10
Doc. Brown,2.25,DB05,13,Filmes e Séries,semsubtema,10
Jim Hopper Xerife v1,1.95,JH03,13,Stranger Things,semsubtema,10
Luke Skywalker Tatooine v2,1.75,LS09,13,Star Wars,semsubtema,10
Obi-Wan Kenobi Aged,1.75,OW01,13,Star Wars,semsubtema,10
He-Man,1.95,HM03,13,Masters of the Universe,semsubtema,10
Han Solo v3,1.75,MQ01,15,Star Wars,semsubtema,10
Darth Revan Knights Of The Old Republic,1.95,DR02,15,Star Wars,semsubtema,10
Red Skull ,1.95,RS03,15,Marvel,semsubtema,10
Adolf Hitler v2,2.5,AH01,16,Militar,WW2,10
Darth Nihilus v1,1.75,DN01,16,Star Wars,semsubtema,10
Joyce Byers,1.95,JB02,17,Stranger Things,semsubtema,10
Dustin Henderson Hellfire,1.95,DH02,17,Stranger Things,semsubtema,10
Imperial Spy Garindan,1.75,MS01,17,Star Wars,semsubtema,10
Hrchek Kal Fas ,1.75,HK01,17,Star Wars,semsubtema,10
Doctor Cornelius Evazan ,1.75,DC01,18,Star Wars,semsubtema,10
Anakin Skywalker Young,2.5,AS07,18,Star Wars,semsubtema,10
Wuher,1.75,WU01,19,Star Wars,semsubtema,10
Quicksilver,2.5,QU02,19,Marvel,X-Men,10
Adolf Hitler v1,3.5,CU01,22,Militar,WW2,10
Wasp ,1.95,WA04,0,Marvel,semsubtema,10
Grenadier of the Old Guard,2.25,GO08,0,Militar,semsubtema,10
French Cuirassier,2.25,FC02,0,Militar,semsubtema,10
Soldado Confederado,1.95,SC07,0,Militar,semsubtema,10
Clone Trooper Phase I,1.95,CT09,0,Star Wars,semsubtema,10
Cull Obsidian XL,4.5,CO06,0,Marvel,semsubtema,10
Juggernaut ML,2.95,JM02,1,Marvel,semsubtema,10
Nancy Wheeler v2,1.95,PW01,1,Stranger Things,semsubtema,10
Eddie Munson v2,1.95,EM03,1,Stranger Things,semsubtema,10
Sylvester,2.25,SY01,1,Looney Tunes,semsubtema,10
Russian Line Infantry,2.25,RL03,1,Militar,semsubtema,10
Doctor Doom v3,2.25,DD06,2,Marvel,semsubtema,10
Human Torch v3,2,HT03,2,Marvel,F4,10
Daffy Duck,2.25,DD01,2,Looney Tunes,semsubtema,10
Goblin King XL,4.5,GK01,2,O Senhor dos Anéis,semsubtema,10
Warg,1.95,WA02,2,O Senhor dos Anéis,semsubtema,10
Rancor,11.5,RA03,2,Star Wars,semsubtema,10
Captain América Sam Wilson v1,2.25,CA05,2,Marvel,Avengers,10
Ahsoka Tano v1,1.75,AT02,2,Star Wars,semsubtema,10
Scout Trooper,1.75,ST04,2,Star Wars,semsubtema,10
Korg XL,4.5,KX02,2,Marvel,semsubtema,10
Thanos XL v1,4.5,TX01,2,Marvel,semsubtema,10
Lizard XL,4.5,LX01,2,Marvel,semsubtema,10
Killer Croc XL v1,4.5,KC03,2,DC Comics,semsubtema,10
Hawkman Aldis Hodge,2.25,HA07,2,DC Comics,semsubtema,10
Rhino,1.75,RH06,2,Marvel,semsubtema,10
Cavaleiro Esqueleto,1.95,CE03,3,O Senhor dos Anéis,semsubtema,10
Ant-Man,1.95,AM01,3,Marvel,semsubtema,10
Spider-Gwen ,1.75,SG16,3,Marvel,semsubtema,10
Monstro das Bolachas,2.25,MD09,3,Rua Sésamo,semsubtema,10
Kit Fisto,2.45,KF02,3,Star Wars,semsubtema,10
Warg Matriarca,1.95,WM03,3,O Senhor dos Anéis,semsubtema,10
Queen Amidala,3.5,QA01,3,Star Wars,semsubtema,10
Jango Fett,1.75,JF02,3,Star Wars,semsubtema,10
Taskmaster Thunderbolts,1.75,TT01,3,Marvel,semsubtema,10
Shanks v2,2.25,SV08,3,One Piece ,semsubtema,10
M3gan,1.95,MG01,3,Filmes e Séries,semsubtema,10
Jane Foster,2,JF01,3,Marvel,semsubtema,10
Ió,1.75,EE01,3,Disney,semsubtema,10
41st Scout Battalion Trooper ,1.75,SB01,4,Star Wars,semsubtema,10
Batman BD,1.95,BB01,4,DC Comics,semsubtema,10
Derek,1.75,DE04,4,Stranger Things,semsubtema,10
Holly Wheeler ,1.95,HW02,4,Stranger Things,semsubtema,10
Egas,2.25,EG01,4,Rua Sésamo,semsubtema,10
Dr. Martin Brenner ,1.75,DM11,4,Stranger Things,semsubtema,10
Alien Ridley Scott,1.95,AR01,4,Filmes e Séries,semsubtema,10
Clayface XL,4.5,CX02,4,DC Comics,semsubtema,10
Bullseye ,2.45,BU03,4,Toy Story,semsubtema,10
Thanos XL v2,4.5,TX02,4,Marvel,semsubtema,10
Captain América Sam Wilson V2,2.25,CA06,4,Marvel,semsubtema,10
Cobb Vanth,1.95,CV05,4,Star Wars,semsubtema,10
Darth Vader v2,1.95,DV03,4,Star Wars,semsubtema,10
Sentry,1.75,SE03,4,Marvel,semsubtema,10
Majin Boo v1,1.95,MB01,4,Dragon Ball,semsubtema,10
Yamcha ,2.25,YA01,4,Dragon Ball,semsubtema,10
Cell,1.95,CE04,4,Dragon Ball,semsubtema,10
Majin Boo v2,1.95,MB02,4,Dragon Ball,semsubtema,10
Roronoa Zoro v2,2.25,RZ02,4,One Piece ,semsubtema,10
Alce de Thranduil,1.95,AD03,4,O Senhor dos Anéis,semsubtema,10
Green Goblin v2,2.5,GG06,4,Marvel,semsubtema,10
Scarlet Witch,1.75,SW02,4,Marvel,X-Men,10
Batman Wings,1.95,BW01,4,DC Comics,semsubtema,10
Tweety,2.25,TW02,5,Looney Tunes,semsubtema,10
Rhino ML,2.95,RM03,5,Marvel,semsubtema,10
Flash DCEU,1.75,FD03,5,DC Comics,semsubtema,10
Super Skrull ,1.95,SS10,5,Marvel,semsubtema,10
Raphael,1.95,RA04,5,Tartarugas Ninja,semsubtema,10
Flash Clássico,1.95,MC01,5,DC Comics,semsubtema,10
Becas,2.25,BE02,5,Rua Sésamo,semsubtema,10
Óscar O Resmungão ,1.75,SO01,5,Rua Sésamo,semsubtema,10
Lucas Sinclair v1,1.95,LS04,5,Stranger Things,semsubtema,10
Fuzileiro Britânico,2.25,FB07,5,Militar,semsubtema,10
Scottish Bagpiper,1.95,SB02,5,Militar,semsubtema,10
Terminator T-800,3.95,TT02,5,Filmes e Séries,semsubtema,10
Optimus Prime,1.95,OP01,5,Filmes e Séries,semsubtema,10
Sandtrooper e Dewback,7.75,SE01,5,Star Wars,semsubtema,10
Mandalorian v2 e Grogu,1.75,BV03,5,Star Wars,semsubtema,10
Falcon MCU v2 ,2.75,FM02,5,Marvel,Avengers,10
Dark Trooper v2,1.75,DT02,5,Star Wars,semsubtema,10
Clone Commando Voca,1.75,CC09,5,Star Wars,semsubtema,10
Gar Saxon,1.75,GS01,5,Star Wars,semsubtema,10
Tartaruga Genial,1.95,TG01,5,Dragon Ball,semsubtema,10
Turles,2,TU02,5,Dragon Ball,semsubtema,10
Hit,1.95,HI01,5,Dragon Ball,semsubtema,10
Dracule Mihawk ,2.25,DM13,5,One Piece ,semsubtema,10
Mandalorian v3,1.75,MV04,5,Star Wars,semsubtema,10
Tusken Raider ,1.95,TR05,5,Star Wars,semsubtema,10
Sanji v2,1.95,SV04,5,One Piece ,semsubtema,10
Cavalo Castanho,1.95,CC03,5,Animais,semsubtema,10
Cerberus Fluffy Three-Headed Dog,3.5,CF01,5,Harry Potter,semsubtema,10
Guerreiro de Gondor,1.95,GD03,5,O Senhor dos Anéis,semsubtema,10
Blue Beetle,2.25,BB07,5,DC Comics,semsubtema,10
Bugs Bunny,2.25,BB08,6,Looney Tunes,semsubtema,10
Coyote ,2.25,CO05,6,Looney Tunes,semsubtema,10
Steve Harrington v2,1.95,SH08,6,Stranger Things,semsubtema,10
Demogorgon v2,1.95,DV08,6,Stranger Things,semsubtema,10
Max Mayfield v2,1.75,MM09,6,Stranger Things,semsubtema,10
Predador,1.95,PR02,6,Filmes e Séries,semsubtema,10
Jabba the Hutt,6.5,JT01,6,Star Wars,semsubtema,10
Tauntaun,4.5,TA05,6,Star Wars,semsubtema,10
Blurrg,5.5,ME01,6,Star Wars,semsubtema,10
